Agency,Event Number,Address,Beat,Call Source Text,Priority,Create Time Incident,Dispatch Time Primary,Arrival Time Primary,Incident Type ID,Incident Type Description,Disposition 1 Text,
OP,LOP190223000860,E 15TH ST&22ND AV,19X,FIELD INITIATED BY D,2,2/23/19 20:28,2/23/19 20:28,2/23/19 20:28,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190223001029,90TH AV&SUNNYSIDE ST,34X,911 CALL,2,2/23/19 23:25,2/23/19 23:43,,SIDESH,SIDESHOW,UNABLE TO LOCATE,
OP,LOP190224000165,MARITIME ST&MIDDLE HARBOR RD,02Y,DEFAULT - PHONE INIT,2,2/24/19 3:40,2/24/19 3:43,2/24/19 3:45,SIDESH,SIDESHOW,ABATED,
OP,LOP190303000566,MACARTHUR BLVD&SEMINARY AV,29X,911 CALL,2,3/3/19 14:50,,,SIDESH,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190303000673,W GRAND AV&MARITIME ST,05Y,DEFAULT - PHONE INIT,2,3/3/19 17:14,3/3/19 17:16,3/3/19 17:22,SDESHO,SIDESHOW,COVER,
OP,LOP190303000877,9865 SUNNYSIDE ST,32Y,DEFAULT - PHONE INIT,2,3/3/19 21:25,3/3/19 21:38,3/3/19 22:06,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190305000013,1686 MARITIME ST,05Y,911 CALL,1,3/5/19 0:23,3/5/19 0:26,3/5/19 0:30,SIDESH,SIDESHOW,COVER,
OP,LOP190305000047,740 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,3/5/19 1:24,3/5/19 1:24,3/5/19 1:30,SIDESH,SIDESHOW,COVER,
OP,LOP190308001122,14370 SKYLINE BLVD,25Y,DEFAULT - PHONE INIT,5,3/8/19 20:14,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190314000684,24TH AV&FOOTHILL BLVD,20X,DEFAULT - PHONE INIT,2,3/14/19 14:13,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190316000088,1400 WEBSTER ST,04X,FIELD INITIATED BY D,2,3/16/19 2:32,3/16/19 2:32,3/16/19 2:32,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190316000640,103RD AV&BANCROFT AV,32Y,911 CALL,5,3/16/19 15:28,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190317000762,W GRAND AV&MARITIME ST,05Y,DEFAULT - PHONE INIT,2,3/17/19 17:02,3/17/19 17:19,3/17/19 17:24,SDESHO,SIDESHOW,COVER,
OP,LOP190324000687,95TH AV&A ST,33X,DEFAULT - PHONE INIT,2,3/24/19 16:41,3/24/19 17:46,3/24/19 17:52,SDESHO,SIDESHOW,UNFOUNDED/NO MERIT,
OP,LOP190324000730,NB I880&NB MARKET OFFRP ST,03Y,DEFAULT - PHONE INIT,2,3/24/19 17:26,3/24/19 17:28,,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190324000751,W GRAND AV&SB I880 CONN,05Y,911 CALL,5,3/24/19 17:54,3/24/19 17:56,,SDESHO,SIDESHOW,COVER,
OP,LOP190324000780,7TH ST&MARITIME ST,02Y,DEFAULT - PHONE INIT,2,3/24/19 18:14,3/24/19 18:16,,SDESHO,SIDESHOW,UNABLE TO LOCATE,
OP,LOP190324001033,1155 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,3/24/19 23:01,3/24/19 23:03,3/24/19 23:09,SDESHO,SIDESHOW,FIELD CONTACT REPORT,
OP,LOP190326001000,24TH AV&FOOTHILL BLVD,20X,DEFAULT - PHONE INIT,2,3/26/19 18:42,3/26/19 21:01,,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190330000553,2238 62ND AV,27Y,DEFAULT - PHONE INIT,2,3/30/19 14:44,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190330000623,10151 FOOTHILL BLVD,32Y,DEFAULT - PHONE INIT,2,3/30/19 15:54,,,SDESHO,SIDESHOW,UNFOUNDED/NO MERIT,
OP,LOP190330000780,10100 MACARTHUR BLVD,32Y,DEFAULT - PHONE INIT,2,3/30/19 19:09,3/30/19 19:20,3/30/19 19:29,SDESHO,SIDESHOW,COVER,
OP,LOP190331000506,FOOTHILL BLVD&FRUITVALE AV,23X,911 CALL,2,3/31/19 13:59,3/31/19 14:25,3/31/19 14:54,SDESHO,SIDESHOW,COVER,
OP,LOP190331000556,HIGH ST&MACARTHUR BLVD,25X,DEFAULT - PHONE INIT,2,3/31/19 14:37,3/31/19 14:52,3/31/19 14:59,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190331000606,80TH AV&INTERNATIONAL BLVD,26Y,911 CALL,2,3/31/19 15:16,3/31/19 15:29,3/31/19 15:53,SDESHO,SIDESHOW,COVER,
OP,LOP190331000726,SIDESHOW,,DEFAULT - PHONE INIT,2,3/31/19 17:12,3/31/19 17:13,,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190331001003,D ST&ELMHURST AV,33X,911 CALL,2,3/31/19 21:54,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190406001018,5837 FREMONT ST,10X,911 CALL,2,4/6/19 22:32,4/6/19 23:08,,SIDESH,SIDESHOW,ABATED,
OP,LOP190407000678,4108 INTERNATIONAL BLVD,23X,911 CALL,2,4/7/19 15:44,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190407000680,42ND AV&INTERNATIONAL BLVD,23X,DEFAULT - PHONE INIT,1,4/7/19 15:45,4/7/19 15:49,4/7/19 15:56,SDESHO,SIDESHOW,COVER,
OP,LOP190407000761,7101 EDGEWATER DR,31X,DEFAULT - PHONE INIT,5,4/7/19 17:08,4/7/19 17:59,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190407000876,106TH AV&MACARTHUR BLVD,32Y,DEFAULT - PHONE INIT,1,4/7/19 19:10,4/7/19 19:11,4/7/19 19:18,SIDESH,SIDESHOW,COVER,
OP,LOP190407000923,WB I580&KELLER AV,25Y,DEFAULT - PHONE INIT,2,4/7/19 20:01,,,SIDESH,SIDESHOW,REFERRED TO OTHER AGENCY,
OP,LOP190407000925,EB I580&EB MOUNTAIN ONRP BL,29X,911 CALL,2,4/7/19 20:02,,,SIDESH,SIDESHOW,REFERRED TO OTHER AGENCY,
OP,LOP190407000926,74 SEQUOYAH VIEW DR,35Y,911 CALL,2,4/7/19 20:03,,,SIDESH,SIDESHOW,REFERRED TO OTHER AGENCY,
OP,LOP190407000939,2500 MIDDLE HARBOR RD,02Y,DEFAULT - PHONE INIT,1,4/7/19 20:19,4/7/19 20:20,4/7/19 20:41,SIDESH,SIDESHOW,COVER,
OP,LOP190407000953,1717 MIDDLE HARBOR RD,02Y,911 CALL,2,4/7/19 20:33,,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190407000956,98TH AV&EDES AV,31Y,FIELD INITIATED BY D,2,4/7/19 20:36,4/7/19 20:36,4/7/19 20:36,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190407000957,SB 42ND CONN AV&SB I880,23X,FIELD INITIATED BY D,2,4/7/19 20:36,4/7/19 20:36,4/7/19 20:36,SDESHO,SIDESHOW,COVER,
OP,LOP190407000958,55TH AV&FOOTHILL BLVD,27X,FIELD INITIATED BY D,2,4/7/19 20:36,4/7/19 20:36,4/7/19 20:36,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190407000960,42ND AV&INTERNATIONAL BLVD,23X,FIELD INITIATED BY D,2,4/7/19 20:37,4/7/19 20:37,4/7/19 20:37,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190407000963,COLISEUM WY&NB HIGH ONRP ST,26X,FIELD INITIATED BY D,2,4/7/19 20:39,4/7/19 20:39,4/7/19 20:39,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190408001073,84TH AV&BIRCH ST,34X,DEFAULT - PHONE INIT,2,4/8/19 21:27,4/8/19 21:36,4/8/19 21:42,SIDESH,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190408001137,84TH AV&BIRCH ST,34X,FIELD INITIATED BY D,2,4/8/19 23:01,4/8/19 23:01,4/8/19 23:01,SDESHO,SIDESHOW,COVER,
OP,LOP190412001227,10151 FOOTHILL BLVD,32Y,911 CALL,2,4/12/19 21:13,4/12/19 21:55,4/12/19 22:07,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190412001295,10151 FOOTHILL BLVD,32Y,911 CALL,2,4/12/19 22:22,4/12/19 22:30,4/12/19 22:32,SDESHO,SIDESHOW,COVER,
OP,LOP190413000626,10151 FOOTHILL BLVD,32Y,911 CALL,2,4/13/19 14:37,,,SDESHO,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190414000251,1155 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,4/14/19 8:19,4/14/19 8:24,4/14/19 8:26,SDESHO,SIDESHOW,REPORT TAKEN-ASSIGNMENT REPORT,
OP,LOP190414000347,455 7TH ST,03Y,DEFAULT - PHONE INIT,5,4/14/19 10:36,4/14/19 10:37,4/14/19 13:13,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190414000471,HEGENBERGER RD&INTERNATIONAL BLVD,26Y,DEFAULT - PHONE INIT,2,4/14/19 13:16,4/14/19 13:17,,SDESHO,SIDESHOW,COVER,
OP,LOP190414000548,HANOVER AV&LAKESHORE AV,15X,911 CALL,2,4/14/19 14:11,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190414000693,10151 FOOTHILL BLVD,32Y,DEFAULT - PHONE INIT,2,4/14/19 15:27,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190414000718,10100 MACARTHUR BLVD,32Y,FIELD INITIATED BY D,2,4/14/19 15:40,4/14/19 15:40,4/14/19 15:40,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190414000780,FOOTHILL BLVD&MACARTHUR BLVD,32Y,911 CALL,2,4/14/19 16:28,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190414000788,10205 MACARTHUR BLVD,32Y,911 CALL,2,4/14/19 16:34,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190414000822,SB 42ND CONN AV&SB HIGH OFFRP ST,23X,911 CALL,1,4/14/19 17:09,4/14/19 17:47,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190414000823,SB 42ND CONN AV&SB I880,23X,911 CALL,5,4/14/19 17:09,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190414000840,NB 42ND ONRP AV&HIGH ST,26X,911 CALL,2,4/14/19 17:25,,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190414000841,SB 42ND CONN AV&SB I880,23X,911 CALL,2,4/14/19 17:26,,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190414000887,90TH AV&BANCROFT AV,34X,DEFAULT - PHONE INIT,2,4/14/19 18:14,4/14/19 18:18,,SIDESH,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190414000902,98TH AV&BANCROFT AV,32Y,911 CALL,5,4/14/19 18:27,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190414000975,88TH AV&BANCROFT AV,34X,911 CALL,2,4/14/19 19:20,,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190414001015,1450 HIGH ST,27X,911 CALL,5,4/14/19 20:09,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190414001024,42ND AV&INTERNATIONAL BLVD,23X,FIELD INITIATED BY D,2,4/14/19 20:17,4/14/19 20:17,4/14/19 20:17,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190414001033,103RD AV&BANCROFT AV,32Y,911 CALL,5,4/14/19 20:39,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190417001003,16TH AV&FOOTHILL BLVD,19X,DEFAULT - PHONE INIT,5,4/17/19 18:53,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190418001146,35TH AV&INTERNATIONAL BLVD,23X,DEFAULT - PHONE INIT,2,4/18/19 20:52,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190419001370,2651 73RD AV,30Y,FIELD INITIATED BY D,2,4/19/19 22:58,4/19/19 22:58,4/19/19 22:58,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190420000508,2651 73RD AV,30Y,DEFAULT - PHONE INIT,2,4/20/19 13:16,4/20/19 20:01,,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190420000790,24TH AV&FOOTHILL BLVD,21X,DEFAULT - PHONE INIT,2,4/20/19 18:16,4/20/19 18:25,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190420000969,2243 62ND AV,27Y,DEFAULT - PHONE INIT,1,4/20/19 21:42,4/20/19 22:05,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190426000934,23RD AV&FOOTHILL BLVD,20X,911 CALL,5,4/26/19 19:34,4/26/19 19:53,4/26/19 20:03,SIDESH,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190426000953,22ND AV&E 28TH ST,18Y,DEFAULT - PHONE INIT,2,4/26/19 19:46,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190428000455,151 HEGENBERGER RD,31X,FIELD INITIATED BY D,2,4/28/19 12:27,4/28/19 12:27,4/28/19 12:27,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190428000460,E 12TH ST&FRUITVALE AV,23X,FIELD INITIATED BY D,2,4/28/19 12:34,4/28/19 12:34,4/28/19 12:34,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190428000656,FRUITVALE AV&INTERNATIONAL BLVD,23X,DEFAULT - PHONE INIT,2,4/28/19 16:23,4/28/19 16:23,,SDESHO,SIDESHOW,ABATED,
OP,LOP190428000788,106TH AV&MACARTHUR BLVD,32Y,FIELD INITIATED BY D,6,4/28/19 18:34,4/28/19 18:34,4/28/19 18:34,SDESHO,SIDESHOW,ABATED,
OP,LOP190428000789,90TH AV&BANCROFT AV,34X,FIELD INITIATED BY D,6,4/28/19 18:34,4/28/19 18:34,4/28/19 18:34,SDESHO,SIDESHOW,ABATED,
OP,LOP190428000790,98TH AV&EDES AV,31Y,FIELD INITIATED BY D,6,4/28/19 18:34,4/28/19 18:34,4/28/19 18:34,SDESHO,SIDESHOW,COVER,
OP,LOP190428000791,42ND AV&INTERNATIONAL BLVD,23X,FIELD INITIATED BY D,5,4/28/19 18:34,4/28/19 18:34,4/28/19 18:34,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190428000792,SB 42ND CONN AV&SB I880,23X,FIELD INITIATED BY D,6,4/28/19 18:35,4/28/19 18:35,4/28/19 18:35,SDESHO,SIDESHOW,COVER,
OP,LOP190430000773,APGAR ST&WEST ST,06X,911 CALL,5,4/30/19 15:51,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190504000087,20TH ST&TELEGRAPH AV,04X,DEFAULT - PHONE INIT,2,5/4/19 2:04,5/4/19 2:05,5/4/19 2:05,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190504000756,SIDESHOW,,FIELD INITIATED BY D,2,5/4/19 18:08,5/4/19 18:08,5/4/19 18:08,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190505000374,7101 EDGEWATER DR,31X,FIELD INITIATED BY D,2,5/5/19 12:34,5/5/19 12:34,5/5/19 12:34,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190505000577,DELAWARE ST&LAUREL AV,22Y,DEFAULT - PHONE INIT,5,5/5/19 15:41,,,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190505000579,38TH AV&FOOTHILL BLVD,24X,DEFAULT - PHONE INIT,5,5/5/19 15:42,5/5/19 15:43,5/5/19 16:07,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190505000582,98TH AV&EDES AV,31Y,FIELD INITIATED BY D,2,5/5/19 15:44,5/5/19 15:44,5/5/19 15:44,SDESHO,SIDESHOW,COVER,
OP,LOP190507001050,4260 MAYBELLE AV,25X,DEFAULT - PHONE INIT,1,5/7/19 20:11,5/7/19 20:58,5/7/19 21:06,SDESHO,SIDESHOW,REPORT TAKEN-ASSIGNMENT REPORT,
OP,LOP190512000721,SEMINARY AV&SUNNYMERE AV,28X,911 CALL,2,5/12/19 17:47,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190515001036,KELLER AV&SKYLINE BLVD,35Y,911 CALL,2,5/15/19 20:32,5/15/19 20:46,5/15/19 20:58,SDESHO,SIDESHOW,COVER,
OP,LOP190518000783,2020 WAKE AV,05Y,DEFAULT - PHONE INIT,2,5/18/19 17:47,5/18/19 19:18,,SIDESH,SIDESHOW,COVER,
OP,LOP190522001268,19TH AV&E 22ND ST,18Y,911 CALL,2,5/22/19 22:21,5/22/19 22:56,,SIDESH,SIDESHOW,REPORT TAKEN-ASSIGNMENT REPORT,
OP,LOP190524001159,10151 FOOTHILL BLVD,32Y,DEFAULT - PHONE INIT,2,5/24/19 21:30,5/25/19 1:11,,SIDESH,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190525000745,7101 EDGEWATER DR,31X,FIELD INITIATED BY D,2,5/25/19 17:42,5/25/19 17:42,5/25/19 17:42,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190525000893,102ND AV&PLYMOUTH ST,32X,DEFAULT - PHONE INIT,5,5/25/19 19:53,5/25/19 19:55,5/25/19 19:59,SIDESH,SIDESHOW,COVER,
OP,LOP190526000477,2651 73RD AV,30Y,FIELD INITIATED BY D,2,5/26/19 12:51,5/26/19 12:51,5/26/19 12:51,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190527000609,W GRAND AV&MARITIME ST,05Y,DEFAULT - PHONE INIT,2,5/27/19 16:06,,,SIDESH,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190601000756,SIDESHOW,,FIELD INITIATED BY D,2,6/1/19 15:36,6/1/19 15:36,6/1/19 15:36,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190602000621,3610 35TH AV,25X,911 CALL,1,6/2/19 15:15,6/2/19 15:45,,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190602000643,48TH AV&FOOTHILL BLVD,27X,FIELD INITIATED BY D,1,6/2/19 15:38,6/2/19 15:38,6/2/19 15:38,SDESHO,SIDESHOW,COVER,
OP,LOP190602000743,FRUITVALE AV&SAN LEANDRO ST,23X,911 CALL,1,6/2/19 16:57,6/2/19 16:59,6/2/19 17:16,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190602000745,FRUITVALE AV&SAN LEANDRO ST,23X,DEFAULT - PHONE INIT,2,6/2/19 17:05,6/2/19 17:05,6/2/19 17:05,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190602000778,98TH AV&MACARTHUR BLVD,32Y,911 CALL,2,6/2/19 17:35,6/2/19 17:36,6/2/19 18:09,SDESHO,SIDESHOW,COVER,
OP,LOP190602000831,4108 INTERNATIONAL BLVD,23X,911 CALL,1,6/2/19 18:23,6/2/19 18:25,6/2/19 18:51,SIDESH,SIDESHOW,COVER,
OP,LOP190602000886,7TH ST&FRONTAGE RD,02Y,DEFAULT - PHONE INIT,1,6/2/19 19:14,6/2/19 19:17,,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190602001004,FOOTHILL BLVD&HIGH ST,23X,FIELD INITIATED BY D,2,6/2/19 21:04,6/2/19 21:04,6/2/19 21:04,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190608000047,7101 EDGEWATER DR,31X,DEFAULT - PHONE INIT,2,6/8/19 0:48,,,SDESHO,SIDESHOW,CALL HANDLED,
OP,LOP190608000827,1599 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,6/8/19 18:26,6/8/19 19:04,,SDESHO,SIDESHOW,ABATED,
OP,LOP190608000837,HIGH ST&WB I580,28X,DEFAULT - PHONE INIT,2,6/8/19 18:37,6/8/19 18:38,,SDESHO,SIDESHOW,GONE ON ARRIVAL,
OP,LOP190609000594,TAC 3,,FIELD INITIATED BY D,5,6/9/19 13:51,6/9/19 13:51,6/9/19 13:51,SDESHO,SIDESHOW,ABATED,
OP,LOP190614000001,SB 42ND CONN AV&SB I880,23X,DEFAULT - PHONE INIT,2,6/14/19 0:00,6/14/19 0:00,6/14/19 0:02,SDESHO,SIDESHOW,REPORT TAKEN-ASSIGNMENT REPORT,
OP,LOP190614000802,2651 73RD AV,30Y,DEFAULT - PHONE INIT,2,6/14/19 16:13,6/17/19 14:20,,SIDESH,SIDESHOW,ABATED,
OP,LOP190614001231,106TH AV&MACARTHUR BLVD,32Y,911 CALL,5,6/14/19 22:29,6/14/19 22:30,6/14/19 22:35,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190614001253,42ND AV&INTERNATIONAL BLVD,23X,FIELD INITIATED BY D,2,6/14/19 22:48,6/14/19 22:48,6/14/19 22:48,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190614001254,98TH AV&EDES AV,31Y,FIELD INITIATED BY D,2,6/14/19 22:48,6/14/19 22:48,6/14/19 22:48,SDESHO,SIDESHOW,COVER,
OP,LOP190614001255,35TH AV&MACARTHUR BLVD,22Y,FIELD INITIATED BY D,2,6/14/19 22:49,6/14/19 22:49,6/14/19 22:49,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190614001301,106TH AV&E ST,32X,DEFAULT - PHONE INIT,2,6/14/19 23:28,6/14/19 23:37,6/15/19 0:07,SIDESH,SIDESHOW,COVER,
OP,LOP190615000045,CARRINGTON ST&HIGH ST,24X,911 CALL,5,6/15/19 0:50,,,SIDESH,SIDESHOW,BROADCAST,
OP,LOP190615000046,4201 INTERNATIONAL BLVD,23X,911 CALL,2,6/15/19 0:50,6/15/19 1:01,6/15/19 1:05,SDESHO,SIDESHOW,COVER,
OP,LOP190615000143,E 15TH ST&20TH AV,19X,911 CALL,5,6/15/19 3:40,6/15/19 3:42,6/15/19 3:43,SIDESH,SIDESHOW,COVER,
OP,LOP190615000667,SIDESHOW DETAIL,,DEFAULT - PHONE INIT,5,6/15/19 15:40,6/15/19 15:42,6/15/19 15:42,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190615000894,90TH AV&BANCROFT AV,34X,FIELD INITIATED BY D,2,6/15/19 19:20,6/15/19 19:20,6/15/19 19:20,SDESHO,SIDESHOW,CONTINUING INVESTIGATION,
OP,LOP190616000152,210 BURMA RD,05Y,DEFAULT - PHONE INIT,5,6/16/19 3:37,,,SDESHO,SIDESHOW,CALL MANAGEMENT STRATEGY,
OP,LOP190616000522,6900 BANCROFT AV,30Y,DEFAULT - PHONE INIT,2,6/16/19 13:58,6/16/19 13:58,,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190616000589,42ND AV&INTERNATIONAL BLVD,23X,FIELD INITIATED BY D,2,6/16/19 15:13,6/16/19 15:13,6/16/19 15:13,SDESHO,SIDESHOW,ADMINISTRATIVE,
OP,LOP190616000615,9755 EDES AV,31Y,911 CALL,1,6/16/19 15:36,6/16/19 15:39,6/16/19 15:52,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190616000653,98TH AV&EDES AV,31Y,DEFAULT - PHONE INIT,5,6/16/19 16:03,,,SDESHO,SIDESHOW,BROADCAST,
OP,LOP190616000734,106TH AV&MACARTHUR BLVD,32Y,911 CALL,5,6/16/19 17:27,6/16/19 21:38,,SIDESH,SIDESHOW,ADMINISTRATIVE,
OP,LOP190618001152,1155 MARITIME ST,05Y,DEFAULT - PHONE INIT,2,6/18/19 21:38,6/18/19 21:49,6/18/19 22:10,SIDESH,SIDESHOW,COVER,
OP,LOP190622000041,64TH AV&BANCROFT AV,27Y,911 CALL,2,6/22/19 0:51,6/22/19 0:52,6/22/19 0:53,SIDESH,SIDESHOW,CALL HANDLED,
OP,LOP190622000445,7101 EDGEWATER DR,31X,FIELD INITIATED BY D,2,6/22/19 11:30,6/22/19 11:30,6/22/19 11:30,SDESHO,SIDESHOW,VEHICLE TOWED,
OP,LOP190623000998,GRIZZLY PEAK BLVD&MARLBOROUGH TER,13Y,911 CALL,5,6/23/19 21:14,,,SIDESH,SIDESHOW,BROADCAST,
